codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
261240,202406,5102,3465679.0,679.68
261245,202406,2765,1879854.0,680.12
261247,202406,2256,1585550.0,703.75
261250,202406,19717,12962718.0,657.81
261255,202406,2723,1835951.0,674.49
261260,202406,13768,9306012.0,676.11
261270,202406,4152,2761887.0,665.19
261280,202406,2022,1370675.0,679.56
261290,202406,2400,1645062.0,685.44
261300,202406,10159,6923649.0,682.4
261310,202406,7823,5362417.0,685.56
261320,202406,4874,3331441.0,684.21
261330,202406,5650,3768441.0,666.98
261340,202406,4568,3184594.0,697.92
261350,202406,6838,4704797.0,688.04
261360,202406,6449,4310676.0,668.43
261370,202406,17737,11974539.0,675.19
261380,202406,3397,2336322.0,687.76
261390,202406,13051,8926117.0,684.31
261400,202406,3849,2664181.0,692.35
261410,202406,7171,4830591.0,673.91
261420,202406,7285,5037590.0,691.5
261430,202406,3584,2398858.0,669.32
261440,202406,961,672006.0,699.28
261450,202406,11810,7912899.0,670.3
