ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
315540,200609,683,38661.0
315550,200609,709,31994.0
315560,200609,3653,248473.0
315570,200609,1411,91455.0
315580,200609,964,46113.0
315590,200609,374,18982.0
315600,200609,1596,115939.0
315610,200609,415,20708.0
315620,200609,167,10059.0
315630,200609,261,11263.0
315640,200609,289,11471.0
315645,200609,358,19338.0
315650,200609,1268,88443.0
315660,200609,1529,99511.0
315670,200609,6193,362979.0
315680,200609,1760,111528.0
315690,200609,1338,65922.0
315700,200609,3582,212821.0
315710,200609,723,40089.0
315720,200609,1823,105468.0
315725,200609,585,34585.0
315727,200609,257,12112.0
315730,200609,525,30021.0
315733,200609,586,32119.0
315737,200609,683,44694.0
315740,200609,678,38869.0
315750,200609,480,34461.0
315760,200609,319,22750.0
315765,200609,722,50049.0
315770,200609,444,17998.0
315780,200609,10323,642183.0
315790,200609,1234,82615.0
315800,200609,1027,60920.0
315810,200609,697,43634.0
315820,200609,1434,101623.0
315830,200609,399,23234.0
315840,200609,340,18136.0
315850,200609,820,55139.0
315860,200609,148,8636.0
315870,200609,212,12925.0
315880,200609,347,18892.0
315890,200609,726,47625.0
315895,200609,1671,98976.0
315900,200609,355,22498.0
315910,200609,405,23838.0
315920,200609,609,30868.0
315930,200609,498,26675.0
315935,200609,504,23969.0
315940,200609,314,17819.0
315950,200609,492,26276.0
315960,200609,1223,66821.0
315970,200609,230,11923.0
315980,200609,1756,99188.0
315990,200609,1420,97349.0
316000,200609,315,14033.0
316010,200609,308,15592.0
316020,200609,580,41640.0
316030,200609,1681,119438.0
316040,200609,988,45856.0
316045,200609,808,57588.0
316050,200609,166,10903.0
316060,200609,418,23225.0
316070,200609,3198,169833.0
316080,200609,249,14816.0
316090,200609,287,15790.0
316095,200609,334,24110.0
316100,200609,1809,94539.0
316105,200609,456,27353.0
316110,200609,5582,409186.0
316120,200609,532,29030.0
316130,200609,283,12554.0
316140,200609,388,20684.0
316150,200609,662,31736.0
316160,200609,330,19372.0
316165,200609,460,29405.0
316170,200609,623,32437.0
316180,200609,667,33205.0
